"","Name","Platform","Year_of_Release","Genre","Publisher","NA_players","EU_players","JP_players","Other_players","Global_players","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"1","Wii Sports","Wii","2006","Sports","Nintendo",41.36,28.96,3.77,8.45,82.53,76,51,"8",322,"Nintendo","E"
"2","Super Mario Bros.","NES","1985","Platform","Nintendo",29.08,3.58,6.81,0.77,40.24,NA,NA,"",NA,"",""
"3","Mario Kart Wii","Wii","2008","Racing","Nintendo",15.68,12.76,3.79,3.29,35.52,82,73,"8.3",709,"Nintendo","E"
"4","Wii Sports Resort","Wii","2009","Sports","Nintendo",15.61,10.93,3.28,2.95,32.77,80,73,"8",192,"Nintendo","E"
"5","Pokemon Red/Pokemon Blue","GB","1996","Role-Playing","Nintendo",11.27,8.89,10.22,1,31.37,NA,NA,"",NA,"",""
"6","Tetris","GB","1989","Puzzle","Nintendo",23.2,2.26,4.22,0.58,30.26,NA,NA,"",NA,"",""
"7","New Super Mario Bros.","DS","2006","Platform","Nintendo",11.28,9.14,6.5,2.88,29.8,89,65,"8.5",431,"Nintendo","E"
"8","Wii Play","Wii","2006","Misc","Nintendo",13.96,9.18,2.93,2.84,28.92,58,41,"6.6",129,"Nintendo","E"
"9","New Super Mario Bros. Wii","Wii","2009","Platform","Nintendo",14.44,6.94,4.7,2.24,28.32,87,80,"8.4",594,"Nintendo","E"
"10","Duck Hunt","NES","1984","Shooter","Nintendo",26.93,0.63,0.28,0.47,28.31,NA,NA,"",NA,"",""
"11","Nintendogs","DS","2005","Simulation","Nintendo",9.05,10.95,1.93,2.74,24.67,NA,NA,"",NA,"",""
"12","Mario Kart DS","DS","2005","Racing","Nintendo",9.71,7.47,4.13,1.9,23.21,91,64,"8.6",464,"Nintendo","E"
"13","Pokemon Gold/Pokemon Silver","GB","1999","Role-Playing","Nintendo",9,6.18,7.2,0.71,23.1,NA,NA,"",NA,"",""
"14","Wii Fit","Wii","2007","Sports","Nintendo",8.92,8.03,3.6,2.15,22.7,80,63,"7.7",146,"Nintendo","E"
"15","Kinect Adventures!","X360","2010","Misc","Microsoft Game Studios",15,4.89,0.24,1.69,21.81,61,45,"6.3",106,"Good Science Studio","E"
"16","Wii Fit Plus","Wii","2009","Sports","Nintendo",9.01,8.49,2.53,1.77,21.79,80,33,"7.4",52,"Nintendo","E"
"17","Grand Theft Auto V","PS3","2013","Action","Take-Two Interactive",7.02,9.09,0.98,3.96,21.04,97,50,"8.2",3994,"Rockstar North","M"
"18","Grand Theft Auto: San Andreas","PS2","2004","Action","Take-Two Interactive",9.43,0.4,0.41,10.57,20.81,95,80,"9",1588,"Rockstar North","M"
